MONSTER, NAME, DAMAGE, ANSWER1, ANSWER2, ANSWER3, CORRECT_ANSWER
Bruja de la Insercion,Que regla asegura que una Llave Fornea coincida con un valor existente en la PK de otra tabla?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,1
Bruja de la Insercion,Que tipo de JOIN devuelve todas las filas de la tabla izquierda y solo las filas coincidentes de la tabla derecha?,15,RIGHT JOIN,LEFT JOIN,FULL JOIN,2
Bruja de la Insercion,Que clusula de SQL se usa para aplicar una condicion a los resultados de una funcion de grupo (agregacion)?,15,GROUP BY,HAVING,WHERE,2
Bruja de la Insercion,Que operador se utiliza en C++ para crear espacio de almacenamiento dinmico?,5,*,new,&,2
Bruja de la Insercion,Cual es el smbolo del Operador de Direccion que genera la direccion de una variable?,5,*,->,&,3
Bruja de la Insercion,En que rea de memoria se localizan las variables y objetos creados dinmicamente?,5,RAM,Stack,Heap,3
Bruja de la Insercion,Si un apuntador ya est apuntando a un espacio dinmico y se le asigna un nuevo valor con new que problema se genera?,5,Se deja memoria volando (memory leak),Fallas de ejecucion,Se libera la memoria automticamente,1
Bruja de la Insercion,Como se define el Factor de Balanceo de un nodo en un arbol AVL?,11,Altura Derecha - Altura Izquierda,Suma de alturas de subrboles,Altura Izquierda - Altura Derecha,3
Bruja de la Insercion,Si al agregar un nodo a un AVL su Factor de Balanceo cambia a +2 o -2 que proceso se debe realizar?,11,Eliminar la raz,Rotacion,Reacomodar hacia arriba,2
Bruja de la Insercion,Si el Factor de Balanceo de un nodo AVL es -1 que indica?,11,El subrbol izquierdo es ms alto,Las alturas son iguales,El subrbol derecho es ms alto,1
Bruja de la Insercion,En un BST que regla deben cumplir los descendientes izquierdos de un nodo?,9,Tener un valor menor al padre,Tener el mismo valor,Tener un valor mayor,1
Bruja de la Insercion,Que es un Nodo Hoja en un arbol Binario?,9,El primer elemento agregado,Aquel nodo que no tiene hijos,El nodo con ms descendientes,2
Sebastian,Cual es la mejor carrera de todas?,999,ITC,IRS,IDM,2
Bruja de la Insercion,Cual es la filosofa de orden de entrada de una Fila (Queue)?,7,FILO,FIFO,LIFO,2
Bruja de la Insercion,Cual es la operacion de una Fila (Queue) que devuelve el valor del elemento al frente SIN eliminarlo?,7,pop,peek,push,2
Bruja de la Insercion,Cual es la complejidad del algoritmo Heap Sort?,13,O(n log n),O(n^2),O(n),1
Bruja de la Insercion,En un Heap (Max Heap) que propiedad debe cumplir un nodo padre respecto a sus hijos?,13,Tener un valor menor,Tener un valor de mayor prioridad,Estar a la izquierda,2
Bruja de la Insercion,Que campo de un nodo en una Lista Encadenada indica dnde se encuentra el siguiente elemento?,6,next,data,root,1
Ciclope del Grafo,En el algoritmo Quick Sort como se llama el elemento que divide el arreglo en dos particiones?,4,Subarreglo,Pivote,Mediana,2
Ciclope del Grafo,Cual es el mejor caso de complejidad para el Ordenamiento por Insercion?,4,O(n^2),O(n),O(n log n),2
Ciclope del Grafo,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Breadth First?,14,Pila (Stack),Fila (Queue),arbol,2
Ciclope del Grafo,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Depth First?,14,Pila (Stack),Fila (Queue),arbol,1
Ciclope del Grafo,En un grafo dirigido (Digrafo) como se llama el primer elemento de un arco?,14,Destino,Origen,Arco adyacente,2
Ciclope del Grafo,Que representacion de grafos desperdicia espacio si el grafo es NO-Dirigido?,14,Matriz de Adyacencias,Lista de Arcos,Listas Encadenadas Circulares,1
Ciclope del Grafo,Que mtodo de funcion de Hashing consiste en dividir la llave entre el tamao de la tabla y usar el residuo?,10,Cuadrtica,Residuales,Seleccion de Dgitos,2
Ciclope del Grafo,Que estrategia para colisiones reacomoda el elemento colisionado DENTRO del espacio de la Tabla?,10,Encadenamiento Externo,Mtodos de Direccion Abierta,Hashing Abierto,2
Ciclope del Grafo,En el mtodo de Prueba Lineal para colisiones la formula de la nueva posicion es dir_base + J Que representa J?,10,Tamao de la tabla,Cantidad de colisiones que ha provocado esa llave,Valor de la llave,2
Ciclope del Grafo,Como se representan tpicamente los 'buckets' en el mtodo de Encadenamiento Externo?,10,Arreglos,Listas encadenadas,Heaps,2
Ciclope del Grafo,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n log n),O(n^3),3
Ciclope del Grafo,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n^3),O(n log n),2
Ciclope del Grafo,Cual es la filosofa de orden de entrada de una Pila (Stack)?,8,LIFO,FIFO,FILO,1
Ciclope del Grafo,Cual es el nombre de la operacion para insertar un elemento en una Pila?,8,peek,push,top,2
Ciclope del Grafo,Cules son las siglas en ingls para Tipo de Datos Abstracto?,10,DTA,ADT,DTF,2
Ciclope del Grafo,Como se mapea una relacion Muchos a Muchos (M:N) en el Modelo Relacional?,6,Creando una tabla intermedia,Con una FK en la tabla del lado M,Creando un atributo multivalor,1
Ciclope del Grafo,Los atributos derivados se almacenan en el Modelo Relacional?,6,Si - como FKs,No - se calculan cuando se necesitan,Si - se almacenan y se actualizan,2
Ciclope del Grafo,Que tipo de entidad depende de una entidad fuerte para su identificacion y usa la PK de la entidad fuerte?,6,Entidad Normal,Entidad Dbil,Entidad Recursiva,2
Ciclope del Grafo,Cual es la complejidad en el peor caso para el algoritmo de Ordenamiento por Intercambio?,3,O(n^2),O(n log n),O(n),1
Ciclope del Grafo,Cual es el peor caso de complejidad para el algoritmo Quick Sort?,3,O(n^2),O(n log n),O(log n),1
Ciclope del Grafo,Cual es la complejidad en el peor caso para el algoritmo Merge Sort?,10,O(n log n),O(n^2),O(n!),1
Ciclope del Grafo,Cual es la eficiencia de orden para el algoritmo de Bsqueda Binaria?,7,O(n),O(log2 n),O(n^2),2
Ciclope del Grafo,Cual es la aplicacion principal del recorrido Inorden en un ABB?,7,Liberar los nodos del arbol,Desplegar en orden creciente los elementos,Generar una rplica del arbol,2
Ciclope del Grafo,El orden de visita del recorrido Preorden es:,7,Izquierdo-Raiz-Derecho,Raiz-Izquierdo-Derecho,Izquierdo-Derecho-Raiz,2
Ciclope del Grafo,Cual es el orden de eficiencia (en el peor caso) de la Bsqueda Secuencial?,2,O(n),O(log2 n),O(n log n),1
Ciclope del Grafo,Que algoritmo busca el valor ms grande (o menor) y lo intercambia por el valor en el extremo opuesto?,2,Merge Sort,Seleccion Directa,Quick Sort,2
Ciclope del Grafo,Como se llama a una trayectoria en un grafo donde el Nodo de Inicio y el de Terminacion son iguales?,2,Ciclo,Trayectoria Simple,Arco,1
Ciclope del Grafo,Que regla del Modelo Relacional garantiza que la llave primaria es nica y no nula?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,2
Ciclope del Grafo,Que regla asegura que una Llave Fornea coincida con un valor existente en la PK de otra tabla?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,1
Ciclope del Grafo,Que tipo de JOIN devuelve todas las filas de la tabla izquierda y solo las filas coincidentes de la tabla derecha?,15,RIGHT JOIN,LEFT JOIN,FULL JOIN,2
Ciclope del Grafo,Que clusula de SQL se usa para aplicar una condicion a los resultados de una funcion de grupo (agregacion)?,15,GROUP BY,HAVING,WHERE,2
Ciclope del Grafo,Que operador se utiliza en C++ para crear espacio de almacenamiento dinmico?,5,*,new,&,2
Ciclope del Grafo,Cual es el smbolo del Operador de Direccion que genera la direccion de una variable?,5,*,->,&,3
Ciclope del Grafo,En que rea de memoria se localizan las variables y objetos creados dinmicamente?,5,RAM,Stack,Heap,3
Ciclope del Grafo,Si un apuntador ya est apuntando a un espacio dinmico y se le asigna un nuevo valor con new que problema se genera?,5,Se deja memoria volando (memory leak),Fallas de ejecucion,Se libera la memoria automticamente,1
Ciclope del Grafo,Como se define el Factor de Balanceo de un nodo en un arbol AVL?,11,Altura Derecha - Altura Izquierda,Suma de alturas de subrboles,Altura Izquierda - Altura Derecha,3
Ciclope del Grafo,Si al agregar un nodo a un AVL su Factor de Balanceo cambia a +2 o -2 que proceso se debe realizar?,11,Eliminar la raz,Rotacion,Reacomodar hacia arriba,2
Ciclope del Grafo,Si el Factor de Balanceo de un nodo AVL es -1 que indica?,11,El subrbol izquierdo es ms alto,Las alturas son iguales,El subrbol derecho es ms alto,1
Ciclope del Grafo,En un BST que regla deben cumplir los descendientes izquierdos de un nodo?,9,Tener un valor menor al padre,Tener el mismo valor,Tener un valor mayor,1
Ciclope del Grafo,Que es un Nodo Hoja en un arbol Binario?,9,El primer elemento agregado,Aquel nodo que no tiene hijos,El nodo con ms descendientes,2
Sebastian,Cual es la mejor carrera de todas?,999,ITC,IRS,IDM,2
Ciclope del Grafo,Cual es la filosofa de orden de entrada de una Fila (Queue)?,7,FILO,FIFO,LIFO,2
Ciclope del Grafo,Cual es la operacion de una Fila (Queue) que devuelve el valor del elemento al frente SIN eliminarlo?,7,pop,peek,push,2
Ciclope del Grafo,Cual es la complejidad del algoritmo Heap Sort?,13,O(n log n),O(n^2),O(n),1
Ciclope del Grafo,En un Heap (Max Heap) que propiedad debe cumplir un nodo padre respecto a sus hijos?,13,Tener un valor menor,Tener un valor de mayor prioridad,Estar a la izquierda,2
Ciclope del Grafo,Que campo de un nodo en una Lista Encadenada indica dnde se encuentra el siguiente elemento?,6,next,data,root,1
Ciempies Hashing,En el algoritmo Quick Sort como se llama el elemento que divide el arreglo en dos particiones?,4,Subarreglo,Pivote,Mediana,2
Ciempies Hashing,Cual es el mejor caso de complejidad para el Ordenamiento por Insercion?,4,O(n^2),O(n),O(n log n),2
Ciempies Hashing,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Breadth First?,14,Pila (Stack),Fila (Queue),arbol,2
Ciempies Hashing,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Depth First?,14,Pila (Stack),Fila (Queue),arbol,1
Ciempies Hashing,En un grafo dirigido (Digrafo) como se llama el primer elemento de un arco?,14,Destino,Origen,Arco adyacente,2
Ciempies Hashing,Que representacion de grafos desperdicia espacio si el grafo es NO-Dirigido?,14,Matriz de Adyacencias,Lista de Arcos,Listas Encadenadas Circulares,1
Ciempies Hashing,Que mtodo de funcion de Hashing consiste en dividir la llave entre el tamao de la tabla y usar el residuo?,10,Cuadrtica,Residuales,Seleccion de Dgitos,2
Ciempies Hashing,Que estrategia para colisiones reacomoda el elemento colisionado DENTRO del espacio de la Tabla?,10,Encadenamiento Externo,Mtodos de Direccion Abierta,Hashing Abierto,2
Ciempies Hashing,En el mtodo de Prueba Lineal para colisiones la formula de la nueva posicion es dir_base + J Que representa J?,10,Tamao de la tabla,Cantidad de colisiones que ha provocado esa llave,Valor de la llave,2
Ciempies Hashing,Como se representan tpicamente los 'buckets' en el mtodo de Encadenamiento Externo?,10,Arreglos,Listas encadenadas,Heaps,2
Ciempies Hashing,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n log n),O(n^3),3
Ciempies Hashing,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n^3),O(n log n),2
Ciempies Hashing,Cual es la filosofa de orden de entrada de una Pila (Stack)?,8,LIFO,FIFO,FILO,1
Ciempies Hashing,Cual es el nombre de la operacion para insertar un elemento en una Pila?,8,peek,push,top,2
Ciempies Hashing,Cules son las siglas en ingls para Tipo de Datos Abstracto?,10,DTA,ADT,DTF,2
Ciempies Hashing,Como se mapea una relacion Muchos a Muchos (M:N) en el Modelo Relacional?,6,Creando una tabla intermedia,Con una FK en la tabla del lado M,Creando un atributo multivalor,1
Ciempies Hashing,Los atributos derivados se almacenan en el Modelo Relacional?,6,Si - como FKs,No - se calculan cuando se necesitan,Si - se almacenan y se actualizan,2
Ciempies Hashing,Que tipo de entidad depende de una entidad fuerte para su identificacion y usa la PK de la entidad fuerte?,6,Entidad Normal,Entidad Dbil,Entidad Recursiva,2
Ciempies Hashing,Cual es la complejidad en el peor caso para el algoritmo de Ordenamiento por Intercambio?,3,O(n^2),O(n log n),O(n),1
Ciempies Hashing,Cual es el peor caso de complejidad para el algoritmo Quick Sort?,3,O(n^2),O(n log n),O(log n),1
Ciempies Hashing,Cual es la complejidad en el peor caso para el algoritmo Merge Sort?,10,O(n log n),O(n^2),O(n!),1
Ciempies Hashing,Cual es la eficiencia de orden para el algoritmo de Bsqueda Binaria?,7,O(n),O(log2 n),O(n^2),2
Ciempies Hashing,Cual es la aplicacion principal del recorrido Inorden en un ABB?,7,Liberar los nodos del arbol,Desplegar en orden creciente los elementos,Generar una rplica del arbol,2
Ciempies Hashing,El orden de visita del recorrido Preorden es:,7,Izquierdo-Raiz-Derecho,Raiz-Izquierdo-Derecho,Izquierdo-Derecho-Raiz,2
Ciempies Hashing,Cual es el orden de eficiencia (en el peor caso) de la Bsqueda Secuencial?,2,O(n),O(log2 n),O(n log n),1
Ciempies Hashing,Que algoritmo busca el valor ms grande (o menor) y lo intercambia por el valor en el extremo opuesto?,2,Merge Sort,Seleccion Directa,Quick Sort,2
Ciempies Hashing,Como se llama a una trayectoria en un grafo donde el Nodo de Inicio y el de Terminacion son iguales?,2,Ciclo,Trayectoria Simple,Arco,1
Ciempies Hashing,Que regla del Modelo Relacional garantiza que la llave primaria es nica y no nula?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,2
Ciempies Hashing,Que regla asegura que una Llave Fornea coincida con un valor existente en la PK de otra tabla?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,1
Ciempies Hashing,Que tipo de JOIN devuelve todas las filas de la tabla izquierda y solo las filas coincidentes de la tabla derecha?,15,RIGHT JOIN,LEFT JOIN,FULL JOIN,2
Ciempies Hashing,Que clusula de SQL se usa para aplicar una condicion a los resultados de una funcion de grupo (agregacion)?,15,GROUP BY,HAVING,WHERE,2
Ciempies Hashing,Que operador se utiliza en C++ para crear espacio de almacenamiento dinmico?,5,*,new,&,2
Ciempies Hashing,Cual es el smbolo del Operador de Direccion que genera la direccion de una variable?,5,*,->,&,3
Ciempies Hashing,En que rea de memoria se localizan las variables y objetos creados dinmicamente?,5,RAM,Stack,Heap,3
Ciempies Hashing,Si un apuntador ya est apuntando a un espacio dinmico y se le asigna un nuevo valor con new que problema se genera?,5,Se deja memoria volando (memory leak),Fallas de ejecucion,Se libera la memoria automticamente,1
Ciempies Hashing,Como se define el Factor de Balanceo de un nodo en un arbol AVL?,11,Altura Derecha - Altura Izquierda,Suma de alturas de subrboles,Altura Izquierda - Altura Derecha,3
Ciempies Hashing,Si al agregar un nodo a un AVL su Factor de Balanceo cambia a +2 o -2 que proceso se debe realizar?,11,Eliminar la raz,Rotacion,Reacomodar hacia arriba,2
Ciempies Hashing,Si el Factor de Balanceo de un nodo AVL es -1 que indica?,11,El subrbol izquierdo es ms alto,Las alturas son iguales,El subrbol derecho es ms alto,1
Ciempies Hashing,En un BST que regla deben cumplir los descendientes izquierdos de un nodo?,9,Tener un valor menor al padre,Tener el mismo valor,Tener un valor mayor,1
Ciempies Hashing,Que es un Nodo Hoja en un arbol Binario?,9,El primer elemento agregado,Aquel nodo que no tiene hijos,El nodo con ms descendientes,2
Sebastian,Cual es la mejor carrera de todas?,999,ITC,IRS,IDM,2
Ciempies Hashing,Cual es la filosofa de orden de entrada de una Fila (Queue)?,7,FILO,FIFO,LIFO,2
Ciempies Hashing,Cual es la operacion de una Fila (Queue) que devuelve el valor del elemento al frente SIN eliminarlo?,7,pop,peek,push,2
Ciempies Hashing,Cual es la complejidad del algoritmo Heap Sort?,13,O(n log n),O(n^2),O(n),1
Ciempies Hashing,En un Heap (Max Heap) que propiedad debe cumplir un nodo padre respecto a sus hijos?,13,Tener un valor menor,Tener un valor de mayor prioridad,Estar a la izquierda,2
Ciempies Hashing,Que campo de un nodo en una Lista Encadenada indica dnde se encuentra el siguiente elemento?,6,next,data,root,1
Dragon de Compilacion,En el algoritmo Quick Sort como se llama el elemento que divide el arreglo en dos particiones?,4,Subarreglo,Pivote,Mediana,2
Dragon de Compilacion,Cual es el mejor caso de complejidad para el Ordenamiento por Insercion?,4,O(n^2),O(n),O(n log n),2
Dragon de Compilacion,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Breadth First?,14,Pila (Stack),Fila (Queue),arbol,2
Dragon de Compilacion,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Depth First?,14,Pila (Stack),Fila (Queue),arbol,1
Dragon de Compilacion,En un grafo dirigido (Digrafo) como se llama el primer elemento de un arco?,14,Destino,Origen,Arco adyacente,2
Dragon de Compilacion,Que representacion de grafos desperdicia espacio si el grafo es NO-Dirigido?,14,Matriz de Adyacencias,Lista de Arcos,Listas Encadenadas Circulares,1
Dragon de Compilacion,Que mtodo de funcion de Hashing consiste en dividir la llave entre el tamao de la tabla y usar el residuo?,10,Cuadrtica,Residuales,Seleccion de Dgitos,2
Dragon de Compilacion,Que estrategia para colisiones reacomoda el elemento colisionado DENTRO del espacio de la Tabla?,10,Encadenamiento Externo,Mtodos de Direccion Abierta,Hashing Abierto,2
Dragon de Compilacion,En el mtodo de Prueba Lineal para colisiones la formula de la nueva posicion es dir_base + J Que representa J?,10,Tamao de la tabla,Cantidad de colisiones que ha provocado esa llave,Valor de la llave,2
Dragon de Compilacion,Como se representan tpicamente los 'buckets' en el mtodo de Encadenamiento Externo?,10,Arreglos,Listas encadenadas,Heaps,2
Dragon de Compilacion,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n log n),O(n^3),3
Dragon de Compilacion,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n^3),O(n log n),2
Dragon de Compilacion,Cual es la filosofa de orden de entrada de una Pila (Stack)?,8,LIFO,FIFO,FILO,1
Dragon de Compilacion,Cual es el nombre de la operacion para insertar un elemento en una Pila?,8,peek,push,top,2
Dragon de Compilacion,Cules son las siglas en ingls para Tipo de Datos Abstracto?,10,DTA,ADT,DTF,2
Dragon de Compilacion,Como se mapea una relacion Muchos a Muchos (M:N) en el Modelo Relacional?,6,Creando una tabla intermedia,Con una FK en la tabla del lado M,Creando un atributo multivalor,1
Dragon de Compilacion,Los atributos derivados se almacenan en el Modelo Relacional?,6,Si - como FKs,No - se calculan cuando se necesitan,Si - se almacenan y se actualizan,2
Dragon de Compilacion,Que tipo de entidad depende de una entidad fuerte para su identificacion y usa la PK de la entidad fuerte?,6,Entidad Normal,Entidad Dbil,Entidad Recursiva,2
Dragon de Compilacion,Cual es la complejidad en el peor caso para el algoritmo de Ordenamiento por Intercambio?,3,O(n^2),O(n log n),O(n),1
Dragon de Compilacion,Cual es el peor caso de complejidad para el algoritmo Quick Sort?,3,O(n^2),O(n log n),O(log n),1
Dragon de Compilacion,Cual es la complejidad en el peor caso para el algoritmo Merge Sort?,10,O(n log n),O(n^2),O(n!),1
Dragon de Compilacion,Cual es la eficiencia de orden para el algoritmo de Bsqueda Binaria?,7,O(n),O(log2 n),O(n^2),2
Dragon de Compilacion,Cual es la aplicacion principal del recorrido Inorden en un ABB?,7,Liberar los nodos del arbol,Desplegar en orden creciente los elementos,Generar una rplica del arbol,2
Dragon de Compilacion,El orden de visita del recorrido Preorden es:,7,Izquierdo-Raiz-Derecho,Raiz-Izquierdo-Derecho,Izquierdo-Derecho-Raiz,2
Dragon de Compilacion,Cual es el orden de eficiencia (en el peor caso) de la Bsqueda Secuencial?,2,O(n),O(log2 n),O(n log n),1
Dragon de Compilacion,Que algoritmo busca el valor ms grande (o menor) y lo intercambia por el valor en el extremo opuesto?,2,Merge Sort,Seleccion Directa,Quick Sort,2
Dragon de Compilacion,Como se llama a una trayectoria en un grafo donde el Nodo de Inicio y el de Terminacion son iguales?,2,Ciclo,Trayectoria Simple,Arco,1
Dragon de Compilacion,Que regla del Modelo Relacional garantiza que la llave primaria es nica y no nula?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,2
Dragon de Compilacion,Que regla asegura que una Llave Fornea coincida con un valor existente en la PK de otra tabla?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,1
Dragon de Compilacion,Que tipo de JOIN devuelve todas las filas de la tabla izquierda y solo las filas coincidentes de la tabla derecha?,15,RIGHT JOIN,LEFT JOIN,FULL JOIN,2
Dragon de Compilacion,Que clusula de SQL se usa para aplicar una condicion a los resultados de una funcion de grupo (agregacion)?,15,GROUP BY,HAVING,WHERE,2
Dragon de Compilacion,Que operador se utiliza en C++ para crear espacio de almacenamiento dinmico?,5,*,new,&,2
Dragon de Compilacion,Cual es el smbolo del Operador de Direccion que genera la direccion de una variable?,5,*,->,&,3
Dragon de Compilacion,En que rea de memoria se localizan las variables y objetos creados dinmicamente?,5,RAM,Stack,Heap,3
Dragon de Compilacion,Si un apuntador ya est apuntando a un espacio dinmico y se le asigna un nuevo valor con new que problema se genera?,5,Se deja memoria volando (memory leak),Fallas de ejecucion,Se libera la memoria automticamente,1
Dragon de Compilacion,Como se define el Factor de Balanceo de un nodo en un arbol AVL?,11,Altura Derecha - Altura Izquierda,Suma de alturas de subrboles,Altura Izquierda - Altura Derecha,3
Dragon de Compilacion,Si al agregar un nodo a un AVL su Factor de Balanceo cambia a +2 o -2 que proceso se debe realizar?,11,Eliminar la raz,Rotacion,Reacomodar hacia arriba,2
Dragon de Compilacion,Si el Factor de Balanceo de un nodo AVL es -1 que indica?,11,El subrbol izquierdo es ms alto,Las alturas son iguales,El subrbol derecho es ms alto,1
Dragon de Compilacion,En un BST que regla deben cumplir los descendientes izquierdos de un nodo?,9,Tener un valor menor al padre,Tener el mismo valor,Tener un valor mayor,1
Dragon de Compilacion,Que es un Nodo Hoja en un arbol Binario?,9,El primer elemento agregado,Aquel nodo que no tiene hijos,El nodo con ms descendientes,2
Sebastian,Cual es la mejor carrera de todas?,999,ITC,IRS,IDM,2
Dragon de Compilacion,Cual es la filosofa de orden de entrada de una Fila (Queue)?,7,FILO,FIFO,LIFO,2
Dragon de Compilacion,Cual es la operacion de una Fila (Queue) que devuelve el valor del elemento al frente SIN eliminarlo?,7,pop,peek,push,2
Dragon de Compilacion,Cual es la complejidad del algoritmo Heap Sort?,13,O(n log n),O(n^2),O(n),1
Dragon de Compilacion,En un Heap (Max Heap) que propiedad debe cumplir un nodo padre respecto a sus hijos?,13,Tener un valor menor,Tener un valor de mayor prioridad,Estar a la izquierda,2
Dragon de Compilacion,Que campo de un nodo en una Lista Encadenada indica dnde se encuentra el siguiente elemento?,6,next,data,root,1
Espectro de la Pila,En el algoritmo Quick Sort como se llama el elemento que divide el arreglo en dos particiones?,4,Subarreglo,Pivote,Mediana,2
Espectro de la Pila,Cual es el mejor caso de complejidad para el Ordenamiento por Insercion?,4,O(n^2),O(n),O(n log n),2
Espectro de la Pila,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Breadth First?,14,Pila (Stack),Fila (Queue),arbol,2
Espectro de la Pila,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Depth First?,14,Pila (Stack),Fila (Queue),arbol,1
Espectro de la Pila,En un grafo dirigido (Digrafo) como se llama el primer elemento de un arco?,14,Destino,Origen,Arco adyacente,2
Espectro de la Pila,Que representacion de grafos desperdicia espacio si el grafo es NO-Dirigido?,14,Matriz de Adyacencias,Lista de Arcos,Listas Encadenadas Circulares,1
Espectro de la Pila,Que mtodo de funcion de Hashing consiste en dividir la llave entre el tamao de la tabla y usar el residuo?,10,Cuadrtica,Residuales,Seleccion de Dgitos,2
